annotated,common_name_correction,broad,order
african_goose,african_goose,goose,anseriformes
Amazon parrot,amazon_parrot,passerine,psittaciformes
americanblackduck,american_black_duck,duck,anseriformes
americanbluewingedteal,american_blue-winged_teal,duck,anseriformes
americanbuffgoose,american_buff_goose,goose,anseriformes
american_coot,american_coot,coot,gruiformes
americancrow,american_crow,passerine,passeriformes
american_green_winged_teal,american_green-winged_teal,duck,anseriformes
american_oystercatcher,american_oystercatcher,wader,charadriiformes
American_Pekin_duck,american_pekin_duck,duck,anseriformes
American Raven,american_raven,passerine,passeriformes
americanpelican,american_pelican,pelican,pelecaniformes
american_widgeon,american_wigeon,duck,anseriformes
americanwhitepelican,americanwhitepelican,pelican,pelecaniformes
American White Pelican,american_white_pelican,pelican,pelecaniformes
animal,animal,animal,animal
aquaticbird,aquatic_bird,aquatic_bird,avian
arctictern,arctic_tern,tern,charadriiformes
pied_megpie,australian_magpie,passerine,passeriformes
pelecanusconspicillatus,australian_pelican,pelican,pelecaniformes
anseriformes_sp.,avian,avian,anseriformes
baikalteal,baikal_teal,duck,anseriformes
baldeagle,bald_eagle,raptor,accipitriformes
bantam,bantam,fowl,galliformes
bar_headed_goose,bar-headed_goose,goose,anseriformes
barn_swallow,barn_swallow,passerine,passeriformes
barnaclegoose,barnacle_goose,goose,anseriformes
barnowl,barnowl,owl,strigiformes
barredowl,barredowl,owl,strigiformes
barred owl,barred_owl,owl,strigiformes
barn owl,barn_owl,owl,strigiformes
anser_fabalis,bean_goose,goose,anseriformes
beardedvulture,bearded_vulture,raptor,accipitriformes
bewick_swan,bewicks_swan,swan,anseriformes
wild_bird,bird,avian,avian
black bear,black_bear,mammal,carnivora
blackbulbul,black_bulbul,passerine,passeriformes
black_scoter,black_scoter,duck,anseriformes
blackskimmer,black_skimmer,skimmer,charadriiformes
black_swan,black_swan,swan,anseriformes
Black Swift,black_swift,swifts_hummingbirds,Apodiformes
blackvulture,black_vulture,raptor,accipitriformes
Black-Billed Magpie,black-billed_magpie,corvid,passeriformes
black_crowned_night_heron,black-crowned_night_heron,heron,pelecaniformes
black-headedgoose,black-headed_goose,goose,anseriformes
black-headedgull,black-headed_gull,gull,charadriiformes
black-neckedgrebe,black-necked_grebe,grebe,podicipediformes
bluemagpie,blue_magpie,magpie,passeriformes
anas_discors,blue-winged_teal,duck,anseriformes
bobcat,bobcat,bobcat,carnivora
bottlenose dolphin,bottlenose_dolphin,dolphin,artiodactyla
brahmachicken,brahma_chicken,chicken,galliformes
brantgoose,brant_goose,goose,anseriformes
breederchicken,breeder_chicken,chicken,galliformes
breederduck,breeder_duck,duck,anseriformes
brentgoose,brent_goose,goose,anseriformes
Broiler chicken,broiler_chicken,chicken,galliformes
broilerduck,broiler_duck,duck,anseriformes
bronzeturkey,bronze_turkey,turkey,galliformes
brown_headed_gull,brown-headed_gull,gull,charadriiformes
brown pelican,brown_pelican,pelican,pelecaniformes
bucephala_albeola,bufflehead,duck,anseriformes
buzzard,buzzard,raptor,accipitriformes
cacklinggoose,cackling_goose,goose,anseriformes
