annotated,common_name_correction,broad,order,
african_goose,african_goose,goose,anseriformes,
africangoose,african_goose,goose,anseriformes,
Amazon parrot,amazon_parrot,passerine,psittaciformes,
americanblackduck,american_black_duck,duck,anseriformes,
anas_rubripes,american_black_duck,duck,anseriformes,
anas_strepera,american_black_duck,duck,anseriformes,
black_duck,american_black_duck,duck,anseriformes,
blackduck,american_black_duck,duck,anseriformes,
americanbluewingedteal,american_blue-winged_teal,duck,anseriformes,
americanbuffgoose,american_buff_goose,goose,anseriformes,
american_coot,american_coot,coot,gruiformes,
americancrow,american_crow,passerine,passeriformes,
american_green_winged_teal,american_green-winged_teal,duck,anseriformes,
americangreen-wingedteal,american_green-winged_teal,duck,anseriformes,
american_oystercatcher,american_oystercatcher,wader,charadriiformes,
American_Pekin_duck,american_pekin_duck,duck,anseriformes,
pekinduck,american_pekin_duck,duck,anseriformes,
American Raven,american_raven,passerine,passeriformes,
americanpelican,american_pelican,pelican,pelecaniformes,
american_widgeon,american_wigeon,duck,anseriformes,
american_wigeon,american_wigeon,duck,anseriformes,
americanwigeon,american_wigeon,duck,anseriformes,
anas_americana,american_wigeon,duck,anseriformes,
widgeon,american_wigeon,duck,anseriformes,
americanwhitepelican,americanwhitepelican,pelican,pelecaniformes,
American White Pelican,american_white_pelican,pelican,pelecaniformes,
animal,animal,animal,animal,
aquaticbird,aquatic_bird,aquatic_bird,avian,
arctictern,arctic_tern,tern,charadriiformes,
pied_megpie,australian_magpie,passerine,passeriformes,
piedmegpie,australian_magpie,passerine,passeriformes,
pelecanusconspicillatus,australian_pelican,pelican,pelecaniformes,
anseriformes_sp.,avian,avian,anseriformes,
avian,avian,avian,avian,
bird,avian,avian,avian,
Backyard bird,avian,avian,avian,
ck,avian,avian,avian,
dk,avian,avian,avian,
eg,avian,avian,avian,
g.h,avian,avian,avian,
gf,avian,avian,avian,
gf,avian,avian,avian,
gh,avian,avian,avian,
gs,avian,avian,avian,
other_avian,avian,avian,avian,
ph,avian,avian,avian,
qa,avian,avian,avian,
sck,avian,avian,avian,
wide_bird,avian,avian,avian,
baikalteal,baikal_teal,duck,anseriformes,
baldeagle,bald_eagle,raptor,accipitriformes,
bantam,bantam,fowl,galliformes,
bar_headed_goose,bar-headed_goose,goose,anseriformes,
bar_headedgoose,bar-headed_goose,goose,anseriformes,
bar-headed_goose_(anser_indicus),bar-headed_goose,goose,anseriformes,
bar-headedgoose,bar-headed_goose,goose,anseriformes,
barheadedgoose,bar-headed_goose,goose,anseriformes,
barn_swallow,barn_swallow,passerine,passeriformes,
barnswallow,barn_swallow,passerine,passeriformes,
barnaclegoose,barnacle_goose,goose,anseriformes,
branta_leucopsis,barnacle_goose,goose,anseriformes,
brantaleucopsis,barnacle_goose,goose,anseriformes,
barnowl,barnowl,owl,strigiformes,
barredowl,barredowl,owl,strigiformes,
barred owl,barred_owl,owl,strigiformes,
barn owl,barn_owl,owl,strigiformes,
anser_fabalis,bean_goose,goose,anseriformes,
bean_goose,bean_goose,goose,anseriformes,
beangoose,bean_goose,goose,anseriformes,
beardedvulture,bearded_vulture,raptor,accipitriformes,
gypaetusbarbatus,bearded_vulture,raptor,accipitriformes,
bewick_swan,bewicks_swan,swan,anseriformes,
bewick's_swan,bewicks_swan,swan,anseriformes,
wild_bird,bird,avian,avian,
wildbird,bird,avian,avian,
black bear,black_bear,mammal,carnivora,
blackbulbul,black_bulbul,passerine,passeriformes,
black_scoter,black_scoter,duck,anseriformes,
blackskimmer,black_skimmer,skimmer,charadriiformes,
black_swan,black_swan,swan,anseriformes,
blackswan,black_swan,swan,anseriformes,
Black Swift,black_swift,swifts_hummingbirds,Apodiformes,
blackvulture,black_vulture,raptor,accipitriformes,
Black-Billed Magpie,black-billed_magpie,corvid,passeriformes,
black_crowned_night_heron,black-crowned_night_heron,heron,pelecaniformes,
black-crownednightheron,black-crowned_night_heron,heron,pelecaniformes,
black-headedgoose,black-headed_goose,goose,anseriformes,
black-headedgull,black-headed_gull,gull,charadriiformes,
blackheadedgull,black-headed_gull,gull,charadriiformes,
chroicocephalus_ridibundus,black-headed_gull,gull,charadriiformes,
chroicocephalusridibundus,black-headed_gull,gull,charadriiformes,
great_black_headed_gull,black-headed_gull,gull,charadriiformes,
greatblack_headedgull,black-headed_gull,gull,charadriiformes,
greatblack-headedgull,black-headed_gull,gull,charadriiformes,
larusridibundus,black-headed_gull,gull,charadriiformes,
black-neckedgrebe,black-necked_grebe,grebe,podicipediformes,
blackneckedgrebe,black-necked_grebe,grebe,podicipediformes,
blacknestedgrebe,black-necked_grebe,duck,anseriformes,
earedgrebe,black-necked_grebe,grebe,podicipediformes,
bluemagpie,blue_magpie,magpie,passeriformes,
anas_discors,blue-winged_teal,duck,anseriformes,
blue_winged-teal,blue-winged_teal,duck,anseriformes,
bluewingedteal,blue-winged_teal,duck,anseriformes,
bobcat,bobcat,bobcat,carnivora,
